ENTRY,LABEL
"To buy a new phone, I need to withdraw $800 from my account.",WITHDRAW
Can I withdraw $100 from my account to buy lunch for my colleagues?,WITHDRAW
"I need to withdraw $2,000 to pay for my home insurance premium.",WITHDRAW
"To pay for my child's music lessons, I need to withdraw $500 from my account.",WITHDRAW
Can I withdraw $300 from my account to pay for my gym equipment?,WITHDRAW
I need to withdraw $500 to cover the cost of my dental work.,WITHDRAW
"To buy new clothes, I need to withdraw $500 from my account.",WITHDRAW
Can I withdraw $200 from my account to pay for my pet's grooming?,WITHDRAW
"I need to withdraw $1,000 to pay for my car's monthly loan payment.",WITHDRAW
"To pay for my child's summer camp, I need to withdraw $1,500 from my account.",WITHDRAW
Can I withdraw $300 from my account to buy a new bicycle?,WITHDRAW
I need to withdraw $500 to pay for my monthly therapy sessions.,WITHDRAW
"Deduct $5,000 from my account to cover the cost of the car repair.",WITHDRAW
"Can you transfer $1,000 to my friend's account as a gift?",WITHDRAW
"Please transfer $10,000 to my savings account for the future.",WITHDRAW
"I authorize a deduction of $3,000 from my account to pay for the plane ticket.",WITHDRAW
"I need to disburse $2,000 from my account to pay for the medical bills.",WITHDRAW
Could you credit $500 to my account as a refund for the returned item?,WITHDRAW
"I'd like to allocate $1,500 from my account for the home improvement project.",WITHDRAW
"Please debit $4,000 from my account to cover the tuition fee.",WITHDRAW
"Can you process a payment of $7,500 to my supplier's account for the inventory?",WITHDRAW
"I'd like to invest $20,000 from my account in a mutual fund.",WITHDRAW
"I'd like to transfer $1,000 from my savings account to my checking account.",DEPOSIT
"Please deposit $10,000 into my account as a gift from my parents.",DEPOSIT
"I need to deposit $2,000 in cash into my account.",DEPOSIT
"Can I deposit this check for $3,500 into my account?",DEPOSIT
"I'd like to deposit $5,000 into my account from the sale of my car.",DEPOSIT
"Please deposit $7,500 into my account from my employer for my salary.",DEPOSIT
"I need to deposit $2,500 into my account from my freelance work.",DEPOSIT
"Can you transfer $15,000 from my spouse's account into my account?",DEPOSIT
"I'd like to deposit $25,000 into my account from the sale of my house.",DEPOSIT
Please deposit $500 from my cash envelope into my account.,DEPOSIT
"I need to deposit $2,000 from my small business earnings into my account.",DEPOSIT
"Can I transfer $1,500 from my PayPal account to my bank account?",DEPOSIT
"I'd like to deposit $3,000 from my side job into my account.",DEPOSIT
"Please deposit $10,000 into my account from my tax refund.",DEPOSIT
"I need to deposit $5,000 into my account from my rental property income.",DEPOSIT
"Can you transfer $2,500 from my investment account into my checking account?",DEPOSIT
"I'd like to deposit $7,000 into my account from the sale of my artwork.",DEPOSIT
"Please deposit $20,000 into my account from my inheritance.",DEPOSIT
"I need to deposit $1,000 into my account from my part-time job.",DEPOSIT
Can I deposit $500 into my child's account for their birthday gift?,DEPOSIT
"I'd like to transfer $1,500 into my spouse's account as a surprise.",DEPOSIT
"Please deposit $5,000 into my daughter's account for her college tuition.",DEPOSIT
"I need to deposit $3,000 into my friend's account as a loan.",DEPOSIT
"Can you transfer $2,000 into my parents' account as a thank-you gift?",DEPOSIT
"I'd like to deposit $1,000 into my nephew's account for his graduation.",DEPOSIT
"Please deposit $10,000 into my sister's account as a repayment of debt.",DEPOSIT
"I need to deposit $7,500 into my cousin's account for their wedding gift.",DEPOSIT
Can I transfer $500 into my godchild's account for their first savings?,DEPOSIT
"I'd like to deposit $2,500 into my best friend's account as a surprise gift.",DEPOSIT
"Please deposit $3,000 into my account from the lottery winnings.",DEPOSIT
"I need to deposit $1,500 into my account from the refund of overpayment.",DEPOSIT
"Can you transfer $10,000 into my account from the sale of my stock?",DEPOSIT
"I'd like to deposit $2,000 into my account from the prize money.",DEPOSIT
"Please deposit $7,500 into my account from the settlement of a lawsuit.",DEPOSIT
"I need to deposit $1,000 into my account from the insurance payout.",DEPOSIT
"Can I deposit $5,000 into my account from the sale of my old car parts?",DEPOSIT
"I'd like to transfer $3,500 into my account from my partner's account.",DEPOSIT
"Please deposit $15,000 into my account from the sale of my boat.",DEPOSIT
"I need to deposit $2,500 into my account from the refund of the canceled vacation.",DEPOSIT
Can you deposit $500 into my account as a credit for the returned item?,DEPOSIT
I would like to deposit $5000 into my account for my child's education fund.,DEPOSIT
Can I deposit $1000 into my account for a charity donation?,DEPOSIT
I need to deposit $2000 into my account to pay for my car repair.,DEPOSIT
I would like to deposit $3000 into my account for a home renovation project.,DEPOSIT
Can I deposit $500 into my account for a medical expense?,DEPOSIT
I need to deposit $2500 into my account for my upcoming vacation.,DEPOSIT
I would like to deposit $4000 into my account for my retirement savings.,DEPOSIT
Can I deposit $1500 into my account for my friend's wedding gift?,DEPOSIT
I need to deposit $10000 into my account for a down payment on a new car.,DEPOSIT
I would like to deposit $5000 into my account for a business investment.,DEPOSIT
Can I deposit $2000 into my account for a charity fundraiser?,DEPOSIT
I need to deposit $3000 into my account for a home insurance payment.,DEPOSIT
I would like to deposit $1500 into my account for my child's extracurricular activities.,DEPOSIT
Can I deposit $1000 into my account for a pet adoption fee?,DEPOSIT
I need to deposit $2500 into my account for a professional certification program.,DEPOSIT
I would like to deposit $5000 into my account for a rental property investment.,DEPOSIT
Can I deposit $2000 into my account for a charitable cause?,DEPOSIT
I need to deposit $3000 into my account for my monthly mortgage payment.,DEPOSIT
I would like to deposit $1500 into my account for my vacation savings.,DEPOSIT
Can I deposit $1000 into my account for a home decor project?,DEPOSIT
I need to deposit $2500 into my account for a car insurance payment.,DEPOSIT
I would like to deposit $4000 into my account for my child's college fund.,DEPOSIT
Can I deposit $5000 into my account for a new business venture?,DEPOSIT
I need to deposit $2000 into my account for my annual membership fee.,DEPOSIT
I would like to deposit $3000 into my account for a home improvement project.,DEPOSIT
Can I deposit $1500 into my account for my child's music lessons?,DEPOSIT
I need to deposit $10000 into my account for a real estate investment.,DEPOSIT
I would like to deposit $5000 into my account for a stock market investment.,DEPOSIT
Can I deposit $2000 into my account for a charitable donation?,DEPOSIT
I need to deposit $3000 into my account for my monthly car payment.,DEPOSIT
I would like to deposit $1500 into my account for my personal development program.,DEPOSIT
Can I deposit $1000 into my account for a gym membership fee?,DEPOSIT
I need to deposit $2500 into my account for a professional conference registration.,DEPOSIT
I would like to deposit $5000 into my account for a down payment on a rental property.,DEPOSIT
Can I deposit $2000 into my account for a community project?,DEPOSIT
I need to deposit $3000 into my account for my child's school tuition.,DEPOSIT
I would like to deposit $1500 into my account for my travel savings.,DEPOSIT
Can I deposit $1000 into my account for a home cleaning service?,DEPOSIT
I need to deposit $2500 into my account for a computer equipment purchase.,DEPOSIT
I would like to deposit $5000 into my account for a business expansion plan.,DEPOSIT
Can I deposit $2000 into my account for a fundraising event?,DEPOSIT
I need to deposit $3000 into my account for my monthly rent payment.,DEPOSIT
Please credit $500 to my account as a bonus for my outstanding performance.,DEPOSIT
"Can you add $2,000 to my account for the purchase of a new laptop?",DEPOSIT
"I need to deposit $1,500 into my account for the payment of rent.",DEPOSIT
"Please transfer $3,000 to my account for the payment of taxes.",DEPOSIT
Can you deposit $500 into my account for my birthday gift?,DEPOSIT
"I would like to add $1,000 to my account for the payment of my car loan.",DEPOSIT
"Please credit $2,500 to my account for the payment of my child's school fees.",DEPOSIT
"I need to deposit $5,000 into my account for the down payment on a new home.",DEPOSIT
"Can you add $1,500 to my account for the purchase of a new phone?",DEPOSIT
"Please transfer $10,000 to my account for the payment of a business investment.",DEPOSIT
"I would like to deposit $2,000 into my account for the purchase of a plane ticket.",DEPOSIT
"Can you add $3,500 to my account for the payment of my credit card bill?",DEPOSIT
"I need to deposit $1,200 into my account for the payment of my utilities.",DEPOSIT
"Please credit $2,000 to my account for the payment of my tuition fees.",DEPOSIT
I would like to add $500 to my account for the purchase of new furniture.,DEPOSIT
"Can you deposit $2,500 into my account for the payment of my medical bills?",DEPOSIT
"Please transfer $1,000 to my account for the payment of my insurance premium.",DEPOSIT
"I need to deposit $3,000 into my account for the payment of my legal fees.",DEPOSIT
"Can you add $1,500 to my account for the payment of my car insurance?",DEPOSIT
"Please credit $5,000 to my account for the payment of my mortgage.",DEPOSIT
"I would like to deposit $2,000 into my account for the payment of my taxes.",DEPOSIT
"Can you add $2,500 to my account for the payment of my child's sports fees?",DEPOSIT
"Please transfer $10,000 to my account for the payment of my business expansion.",DEPOSIT
"I need to deposit $3,500 into my account for the payment of my travel expenses.",DEPOSIT
"Can you deposit $1,000 into my account for the payment of my membership fees?",DEPOSIT
"Please credit $1,500 to my account for the payment of my internet bill.",DEPOSIT
I would like to add $500 to my account for the payment of my streaming service subscription.,DEPOSIT
